final_row_index_0_based,interval_id,model_family,run_version,interval_number,start_round,end_round,family_row_index_0_based,cluster,cosine_similarity_to_assigned_centroid,cosine_distance_to_assigned_centroid
46,DeepSeek-V3__V1__I047,DeepSeek-V3,V1,47,461,470,46,1,0.9550362458591092,0.0449637541408909
47,DeepSeek-V3__V1__I048,DeepSeek-V3,V1,48,471,480,47,1,0.9471492380449826,0.0528507619550173
48,DeepSeek-V3__V1__I049,DeepSeek-V3,V1,49,481,490,48,1,0.9458725848699724,0.0541274151300277
49,DeepSeek-V3__V1__I050,DeepSeek-V3,V1,50,491,500,49,1,0.928626000032764,0.0713739999672361
50,DeepSeek-V3__V1__I051,DeepSeek-V3,V1,51,501,510,50,2,0.8937714012394062,0.1062285987605937
51,DeepSeek-V3__V1__I052,DeepSeek-V3,V1,52,511,520,51,2,0.9183680842903316,0.0816319157096685
52,DeepSeek-V3__V1__I053,DeepSeek-V3,V1,53,521,530,52,2,0.9210585661960908,0.0789414338039091
53,DeepSeek-V3__V1__I054,DeepSeek-V3,V1,54,531,540,53,2,0.939061416238702,0.0609385837612979
54,DeepSeek-V3__V1__I055,DeepSeek-V3,V1,55,541,550,54,2,0.9340093305116112,0.0659906694883887
55,DeepSeek-V3__V1__I056,DeepSeek-V3,V1,56,551,560,55,2,0.9497091217319316,0.0502908782680684
56,DeepSeek-V3__V1__I057,DeepSeek-V3,V1,57,561,570,56,2,0.9437340705681624,0.0562659294318375
57,DeepSeek-V3__V1__I058,DeepSeek-V3,V1,58,571,580,57,2,0.9434865753360606,0.0565134246639393
58,DeepSeek-V3__V1__I059,DeepSeek-V3,V1,59,581,590,58,2,0.9372050107928104,0.0627949892071897
59,DeepSeek-V3__V1__I060,DeepSeek-V3,V1,60,591,600,59,2,0.9280700288397784,0.0719299711602216
60,DeepSeek-V3__V1__I061,DeepSeek-V3,V1,61,601,610,60,2,0.9408799383570104,0.0591200616429896
61,DeepSeek-V3__V1__I062,DeepSeek-V3,V1,62,611,620,61,2,0.9264813192957873,0.0735186807042128
62,DeepSeek-V3__V1__I063,DeepSeek-V3,V1,63,621,630,62,2,0.947785102510156,0.0522148974898438
63,DeepSeek-V3__V1__I064,DeepSeek-V3,V1,64,631,640,63,2,0.9036691269252132,0.0963308730747869
64,DeepSeek-V3__V1__I065,DeepSeek-V3,V1,65,641,650,64,2,0.9430261958791548,0.056973804120845
65,DeepSeek-V3__V1__I066,DeepSeek-V3,V1,66,651,660,65,2,0.9338662948452616,0.0661337051547382
66,DeepSeek-V3__V1__I067,DeepSeek-V3,V1,67,661,670,66,2,0.9353959187547476,0.0646040812452525
67,DeepSeek-V3__V1__I068,DeepSeek-V3,V1,68,671,680,67,2,0.8591089270106378,0.1408910729893622
68,DeepSeek-V3__V1__I069,DeepSeek-V3,V1,69,681,690,68,2,0.9385712007587336,0.0614287992412664
69,DeepSeek-V3__V1__I070,DeepSeek-V3,V1,70,691,700,69,2,0.9386054056026656,0.0613945943973345
70,DeepSeek-V3__V1__I071,DeepSeek-V3,V1,71,701,710,70,2,0.939962605230164,0.060037394769836
71,DeepSeek-V3__V1__I072,DeepSeek-V3,V1,72,711,720,71,2,0.949287421711278,0.0507125782887218
72,DeepSeek-V3__V1__I073,DeepSeek-V3,V1,73,721,730,72,2,0.953679010894672,0.0463209891053278
73,DeepSeek-V3__V1__I074,DeepSeek-V3,V1,74,731,740,73,2,0.919875156156286,0.0801248438437139
74,DeepSeek-V3__V1__I075,DeepSeek-V3,V1,75,741,750,74,2,0.9540025306678036,0.0459974693321965
75,DeepSeek-V3__V1__I076,DeepSeek-V3,V1,76,751,760,75,2,0.9409545937166272,0.0590454062833727
76,DeepSeek-V3__V1__I077,DeepSeek-V3,V1,77,761,770,76,2,0.9093044605900632,0.0906955394099366
77,DeepSeek-V3__V1__I078,DeepSeek-V3,V1,78,771,780,77,2,0.93464334126794,0.06535665873206
78,DeepSeek-V3__V1__I079,DeepSeek-V3,V1,79,781,790,78,2,0.9191140632478544,0.0808859367521457
79,DeepSeek-V3__V1__I080,DeepSeek-V3,V1,80,791,800,79,2,0.9079193539365352,0.0920806460634646
80,DeepSeek-V3__V1__I081,DeepSeek-V3,V1,81,801,810,80,2,0.930337658039844,0.0696623419601559
81,DeepSeek-V3__V1__I082,DeepSeek-V3,V1,82,811,820,81,2,0.9486497102681604,0.0513502897318397
82,DeepSeek-V3__V1__I083,DeepSeek-V3,V1,83,821,830,82,2,0.9276732674696644,0.0723267325303357
83,DeepSeek-V3__V1__I084,DeepSeek-V3,V1,84,831,840,83,2,0.9424784655480044,0.0575215344519957
84,DeepSeek-V3__V1__I085,DeepSeek-V3,V1,85,841,850,84,2,0.9229286372649036,0.0770713627350965
85,DeepSeek-V3__V1__I086,DeepSeek-V3,V1,86,851,860,85,2,0.9424265368547644,0.0575734631452355
86,DeepSeek-V3__V1__I087,DeepSeek-V3,V1,87,861,870,86,2,0.9254971611503888,0.0745028388496111
87,DeepSeek-V3__V1__I088,DeepSeek-V3,V1,88,871,880,87,2,0.9151696383340084,0.0848303616659915
88,DeepSeek-V3__V1__I089,DeepSeek-V3,V1,89,881,890,88,2,0.9427574600758598,0.0572425399241401
89,DeepSeek-V3__V1__I090,DeepSeek-V3,V1,90,891,900,89,2,0.9150906076639832,0.0849093923360166
90,DeepSeek-V3__V1__I091,DeepSeek-V3,V1,91,901,910,90,2,0.9320180905418382,0.0679819094581618
91,DeepSeek-V3__V1__I092,DeepSeek-V3,V1,92,911,920,91,1,0.9199767798687828,0.0800232201312173
92,DeepSeek-V3__V1__I093,DeepSeek-V3,V1,93,921,930,92,2,0.91040281162882,0.0895971883711801
93,DeepSeek-V3__V1__I094,DeepSeek-V3,V1,94,931,940,93,1,0.8893220033316883,0.1106779966683116
94,DeepSeek-V3__V1__I095,DeepSeek-V3,V1,95,941,950,94,1,0.86081962484099,0.13918037515901
95,DeepSeek-V3__V1__I096,DeepSeek-V3,V1,96,951,960,95,1,0.9008583882330604,0.0991416117669397
96,DeepSeek-V3__V1__I097,DeepSeek-V3,V1,97,961,970,96,1,0.8870552065882306,0.1129447934117694
97,DeepSeek-V3__V1__I098,DeepSeek-V3,V1,98,971,980,97,1,0.9030706923631284,0.0969293076368716
98,DeepSeek-V3__V1__I099,DeepSeek-V3,V1,99,981,990,98,2,0.8793032894336483,0.1206967105663516
99,DeepSeek-V3__V1__I100,DeepSeek-V3,V1,100,991,1000,99,2,0.8967313682222885,0.1032686317777115
100,DeepSeek-V3__V2__I001,DeepSeek-V3,V2,1,1,10,100,4,0.8718189316243412,0.1281810683756588
101,DeepSeek-V3__V2__I002,DeepSeek-V3,V2,2,11,20,101,4,0.8976145621938121,0.1023854378061879
102,DeepSeek-V3__V2__I003,DeepSeek-V3,V2,3,21,30,102,4,0.9056617053357296,0.0943382946642704
103,DeepSeek-V3__V2__I004,DeepSeek-V3,V2,4,31,40,103,4,0.8852590504062834,0.1147409495937166
104,DeepSeek-V3__V2__I005,DeepSeek-V3,V2,5,41,50,104,4,0.9090669667741113,0.0909330332258888
105,DeepSeek-V3__V2__I006,DeepSeek-V3,V2,6,51,60,105,4,0.9061516927055696,0.0938483072944305
106,DeepSeek-V3__V2__I007,DeepSeek-V3,V2,7,61,70,106,4,0.8927052359501286,0.1072947640498713
107,DeepSeek-V3__V2__I008,DeepSeek-V3,V2,8,71,80,107,4,0.8840689847883842,0.1159310152116157
108,DeepSeek-V3__V2__I009,DeepSeek-V3,V2,9,81,90,108,4,0.9147163289450384,0.0852836710549617
109,DeepSeek-V3__V2__I010,DeepSeek-V3,V2,10,91,100,109,4,0.9462785687315232,0.0537214312684768
110,DeepSeek-V3__V2__I011,DeepSeek-V3,V2,11,101,110,110,4,0.9643237531760084,0.0356762468239917
111,DeepSeek-V3__V2__I012,DeepSeek-V3,V2,12,111,120,111,4,0.9564436123849,0.0435563876150999
112,DeepSeek-V3__V2__I013,DeepSeek-V3,V2,13,121,130,112,4,0.9513027912642508,0.0486972087357491
113,DeepSeek-V3__V2__I014,DeepSeek-V3,V2,14,131,140,113,4,0.9395407793168434,0.0604592206831565
114,DeepSeek-V3__V2__I015,DeepSeek-V3,V2,15,141,150,114,4,0.954275261056842,0.0457247389431578
115,DeepSeek-V3__V2__I016,DeepSeek-V3,V2,16,151,160,115,4,0.9468616135713586,0.0531383864286414
116,DeepSeek-V3__V2__I017,DeepSeek-V3,V2,17,161,170,116,4,0.953004883972643,0.0469951160273569
117,DeepSeek-V3__V2__I018,DeepSeek-V3,V2,18,171,180,117,4,0.9493868161593167,0.0506131838406832
118,DeepSeek-V3__V2__I019,DeepSeek-V3,V2,19,181,190,118,4,0.9390396350198568,0.0609603649801433
119,DeepSeek-V3__V2__I020,DeepSeek-V3,V2,20,191,200,119,4,0.9398808389262924,0.0601191610737077
120,DeepSeek-V3__V2__I021,DeepSeek-V3,V2,21,201,210,120,4,0.917826021564908,0.0821739784350921
121,DeepSeek-V3__V2__I022,DeepSeek-V3,V2,22,211,220,121,4,0.8873053264453067,0.1126946735546933
122,DeepSeek-V3__V2__I023,DeepSeek-V3,V2,23,221,230,122,4,0.8537236004552928,0.1462763995447071
123,DeepSeek-V3__V2__I024,DeepSeek-V3,V2,24,231,240,123,1,0.9086802284229084,0.0913197715770917
124,DeepSeek-V3__V2__I025,DeepSeek-V3,V2,25,241,250,124,3,0.8850572851849393,0.1149427148150606
125,DeepSeek-V3__V2__I026,DeepSeek-V3,V2,26,251,260,125,3,0.8984678761687299,0.10153212383127
126,DeepSeek-V3__V2__I027,DeepSeek-V3,V2,27,261,270,126,1,0.9087161016595148,0.0912838983404851
127,DeepSeek-V3__V2__I028,DeepSeek-V3,V2,28,271,280,127,1,0.9230016011827102,0.0769983988172897
128,DeepSeek-V3__V2__I029,DeepSeek-V3,V2,29,281,290,128,1,0.924705585981334,0.0752944140186661
129,DeepSeek-V3__V2__I030,DeepSeek-V3,V2,30,291,300,129,1,0.9228294690663325,0.0771705309336676
130,DeepSeek-V3__V2__I031,DeepSeek-V3,V2,31,301,310,130,1,0.9117951706526336,0.0882048293473665
131,DeepSeek-V3__V2__I032,DeepSeek-V3,V2,32,311,320,131,1,0.9115878057167384,0.0884121942832617
132,DeepSeek-V3__V2__I033,DeepSeek-V3,V2,33,321,330,132,1,0.900384542512113,0.099615457487887
133,DeepSeek-V3__V2__I034,DeepSeek-V3,V2,34,331,340,133,1,0.919315572809728,0.0806844271902721
134,DeepSeek-V3__V2__I035,DeepSeek-V3,V2,35,341,350,134,1,0.9126554256205958,0.0873445743794042
135,DeepSeek-V3__V2__I036,DeepSeek-V3,V2,36,351,360,135,1,0.9220374384466368,0.0779625615533632
136,DeepSeek-V3__V2__I037,DeepSeek-V3,V2,37,361,370,136,1,0.9440247366100504,0.0559752633899497
137,DeepSeek-V3__V2__I038,DeepSeek-V3,V2,38,371,380,137,1,0.9344277009179416,0.0655722990820583
138,DeepSeek-V3__V2__I039,DeepSeek-V3,V2,39,381,390,138,1,0.9306842673136344,0.0693157326863657
139,DeepSeek-V3__V2__I040,DeepSeek-V3,V2,40,391,400,139,1,0.8929016536132063,0.1070983463867937
140,DeepSeek-V3__V2__I041,DeepSeek-V3,V2,41,401,410,140,1,0.933464941741292,0.0665350582587079
141,DeepSeek-V3__V2__I042,DeepSeek-V3,V2,42,411,420,141,1,0.9446882310836978,0.0553117689163021
142,DeepSeek-V3__V2__I043,DeepSeek-V3,V2,43,421,430,142,1,0.9419186906163136,0.0580813093836863
143,DeepSeek-V3__V2__I044,DeepSeek-V3,V2,44,431,440,143,1,0.92902200671269,0.07097799328731
