model_family,selected_k,selected_seed,mean_silhouette,best_solution_silhouette,stability_median_ari,run_ami,phase_ami
DeepSeek-V3,4,29,0.3259566178849473,0.3764611230071076,0.736982953822724,0.3872986151277688,0.1384723111163488
GPT-4o-mini,2,0,0.5408407967396199,0.54084079673962,1.0,0.3307677054600124,0.0836030524102764
Phi-4,2,0,0.5675724963746929,0.5675724963746928,1.0,0.2024712044954375,0.0043819818389112
GPT-5.6 Terra,3,0,0.4530695790636781,0.4530695790636781,1.0,1.0,-0.0061611620395816
Claude Sonnet,2,0,0.3558324411105159,0.3558324411105158,1.0,0.7326451023952699,-0.0038877949347162
